sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
1009.94;1009.94;1009.33;-1.34707e-15;-5.90121e-16;2.24303e-16;3.24;3.24;-0.710094;-6.5791e-17;-7.29869e-17;-6.16791e-17;0;0;0;0;0;0;2.63088;
1023.53;1023.53;1022.92;-3.82802e-16;4.82674e-16;-7.16927e-16;3.28;3.28;-0.712417;-8.63507e-17;-3.28955e-17;-1.1719e-16;0;0;0;0;0;0;2.65909;
1037.13;1037.13;1036.52;4.0535e-16;3.80941e-16;2.35721e-15;3.32;3.32;-0.714701;-5.34552e-17;-7.19589e-18;6.4763e-17;0;0;0;0;0;0;2.68728;
1050.74;1050.74;1050.13;2.05857e-15;-5.84372e-16;-1.54358e-15;3.36;3.36;-0.716946;9.86865e-17;-5.34552e-17;-6.5791e-17;0;0;0;0;0;0;2.71544;
1064.35;1064.35;1063.74;5.5409e-16;1.0261e-16;9.66498e-18;3.4;3.4;-0.719153;1.2747e-16;-4.21474e-17;-5.55112e-17;0;0;0;0;0;0;2.74357;
1077.97;1077.97;1077.36;-6.14051e-16;-7.4767e-16;-4.25402e-16;3.44;3.44;-0.721324;7.81268e-17;-9.86865e-17;-8.73787e-17;0;0;0;0;0;0;2.77168;
1091.6;1091.6;1090.98;-1.64947e-15;2.2117e-15;1.10846e-15;3.48;3.48;-0.723458;-4.11194e-17;7.09309e-17;-2.05597e-18;0;0;0;0;0;0;2.79976;
1105.23;1105.23;1104.62;9.12496e-16;-9.22792e-17;-3.21108e-17;3.52;3.52;-0.725557;3.70074e-17;5.03712e-17;-1.13078e-17;0;0;0;0;0;0;2.82783;
1118.87;1118.87;1118.25;-1.08672e-15;-2.70702e-15;-1.48385e-15;3.56;3.56;-0.727621;-4.93432e-17;-1.50086e-16;-1.21302e-16;0;0;0;0;0;0;2.85586;
1132.52;1132.52;1131.9;-9.07899e-17;2.2433e-15;2.35936e-15;3.6;3.6;-0.729653;-4.93432e-17;3.28955e-17;6.2707e-17;0;0;0;0;0;0;2.88388;
