sig[0,0]; sig[1,1]; sig[2,2]; sig[0,1]; sig[0,2]; sig[1,2]; eps[0,0]; eps[1,1]; eps[2,2]; eps[0,1]; eps[0,2]; eps[1,2];  beta[0,0]; beta[1,1]; beta[2,2]; beta[0,1]; beta[0,2]; beta[1,2]; eps_p_bar
61.8142;62.5275;59.3605;4.15578e-18;-4.29451e-18;-1.47205e-16;0.262297;0.350043;-0.262432;1.85535e-18;-3.48379e-19;-2.13669e-18;0.373337;0.907016;-1.28035;2.01086e-18;-3.36015e-18;-1.00161e-16;21.4779;
60.5544;61.2106;58.0566;3.39201e-18;-1.29059e-17;-1.64079e-16;0.2612;0.338205;-0.256888;8.43399e-19;-5.76388e-18;8.3677e-19;0.396994;0.890087;-1.28708;2.16705e-18;-6.05411e-18;-1.06301e-16;21.8398;
59.1011;59.7038;56.5628;-4.81952e-18;-8.57357e-18;-1.62758e-16;0.258758;0.325801;-0.250525;-4.06658e-18;-1.50879e-18;2.19793e-17;0.418874;0.874051;-1.29293;-4.45669e-19;-5.97315e-18;-1.08882e-16;22.1918;
57.455;58.0076;54.8795;-1.24722e-17;1.67277e-18;-1.6954e-16;0.254977;0.31283;-0.243346;-6.79417e-18;4.28071e-18;1.81385e-18;0.439072;0.858916;-1.29799;-4.20612e-18;-2.67066e-18;-1.12309e-16;22.533;
55.6166;56.1225;53.007;-8.60816e-18;-2.61576e-18;-2.12973e-16;0.249862;0.299292;-0.235352;-2.4199e-18;1.33235e-20;1.86519e-18;0.457679;0.844683;-1.30236;-4.96633e-18;-2.27628e-18;-1.27414e-16;22.8622;
53.5869;54.0494;50.9462;-1.30105e-17;-3.58981e-19;-2.7049e-16;0.243423;0.285185;-0.226547;-4.22405e-18;9.85367e-19;5.86842e-18;0.474781;0.831349;-1.30613;-6.67364e-18;-1.39703e-18;-1.52446e-16;23.1784;
51.3673;51.7895;48.6981;-3.24656e-18;-1.0136e-17;-2.9981e-16;0.235674;0.27051;-0.216936;1.66241e-18;-4.3531e-18;-3.46545e-19;0.49046;0.818907;-1.30937;-4.82352e-18;-3.69869e-18;-1.74348e-16;23.4804;
48.9594;49.3442;46.2642;-1.37075e-17;9.99094e-18;-3.58573e-16;0.226629;0.255264;-0.206525;-4.21754e-18;6.43002e-18;7.75678e-19;0.504789;0.80735;-1.31214;-6.62817e-18;4.78183e-19;-2.02449e-16;23.7672;
46.3649;46.7154;43.6462;-4.37276e-18;-1.59801e-18;-4.34814e-16;0.216307;0.239449;-0.195324;9.60361e-19;-9.18864e-19;-6.28702e-18;0.517834;0.79667;-1.3145;-5.25873e-18;-1.12575e-19;-2.38074e-16;24.0377;
43.5864;43.9052;40.8463;-1.53577e-17;-5.97019e-18;-5.68601e-16;0.20473;0.223064;-0.18334;-4.22384e-18;-2.43174e-18;1.39465e-18;0.529656;0.786859;-1.31651;-7.11152e-18;-1.51715e-18;-2.91306e-16;24.2907;
40.6264;40.9164;37.8671;-1.59236e-17;-8.60336e-18;-7.37771e-16;0.191924;0.206109;-0.170585;-3.43197e-18;-2.73379e-18;-6.79785e-18;0.540307;0.777908;-1.31821;-8.35415e-18;-2.95738e-18;-3.61506e-16;24.5252;
37.4881;37.7518;34.7115;-4.23647e-18;7.69703e-19;-6.76764e-16;0.177919;0.188585;-0.157073;1.39912e-18;1.2949e-18;-9.98922e-18;0.549831;0.769813;-1.31964;-6.68543e-18;-1.89376e-18;-3.92116e-16;24.7402;
34.1752;34.4152;31.3831;-3.89154e-18;-3.24824e-20;-8.42201e-16;0.162751;0.170494;-0.142819;8.48961e-19;5.81424e-19;6.50382e-18;0.558266;0.76257;-1.32084;-5.56293e-18;-1.37265e-18;-4.42854e-16;24.9345;
30.6918;30.9106;27.8862;-6.94457e-18;-1.01953e-17;-7.82064e-16;0.146459;0.151836;-0.127841;-4.26127e-19;-2.50968e-18;-1.06883e-17;0.565641;0.756178;-1.32182;-5.35601e-18;-2.76501e-18;-4.6539e-16;25.1071;
27.0428;27.2429;24.2253;-5.7034e-18;-2.83145e-18;-8.5919e-16;0.129089;0.132614;-0.112159;-1.18903e-19;-3.35144e-20;-1.64995e-18;0.571977;0.750642;-1.32262;-5.03424e-18;-2.58205e-18;-4.91696e-16;25.2571;
23.2337;23.4173;20.406;2.31545e-18;-6.3968e-19;-8.92899e-16;0.110693;0.112831;-0.0957957;1.50281e-18;3.89415e-19;-6.27545e-18;0.577288;0.745966;-1.32325;-3.8018e-18;-2.18199e-18;-5.13435e-16;25.3834;
19.2708;19.4401;16.4343;-3.55309e-18;2.74772e-18;-1.13204e-15;0.0913286;0.0924889;-0.0787789;1.85437e-20;8.20543e-19;-1.30819e-17;0.581579;0.742163;-1.32374;-3.59205e-18;-1.56661e-18;-5.52549e-16;25.4852;
15.1612;15.3182;12.3174;1.0319e-18;4.57442e-18;-9.43102e-16;0.0710625;0.0715933;-0.0611382;5.71033e-19;7.78218e-19;1.8549e-17;0.584845;0.739249;-1.32409;-3.09752e-18;-1.0275e-18;-5.62883e-16;25.5614;
10.9134;11.0588;8.0631;-1.21936e-17;1.40181e-17;-1.02531e-15;0.0499687;0.0501487;-0.0429075;-8.02453e-19;1.28924e-18;1.46922e-18;0.587071;0.737247;-1.32432;-3.49494e-18;-2.20357e-19;-5.73215e-16;25.6113;
6.53892;6.66805;3.68034;-7.42336e-17;3.54628e-17;-1.50063e-15;0.0281298;0.0281613;-0.0241247;-3.04045e-18;1.52144e-18;1.20578e-17;0.58822;0.736197;-1.32442;-5.1568e-18;6.40284e-19;-5.89061e-16;25.6341;
1.69135;1.69139;-4.51597e-13;-7.48325e-18;-8.89023e-19;-2.89989e-15;0.00563777;0.00563802;-0.00483248;-4.63249e-20;-5.50347e-21;-4.37982e-18;0.58822;0.736197;-1.32442;-5.1568e-18;6.40284e-19;-5.89061e-16;25.6341;
-3.21246;-3.0849;-4.14803;-2.38988e-17;4.36093e-18;-1.79178e-15;-0.0174054;-0.0174126;0.014922;-8.79146e-19;1.72154e-19;-7.39888e-18;0.572573;0.71815;-1.29072;-5.5727e-18;7.27711e-19;-6.12478e-16;25.6598;
-7.9555;-7.82169;-8.78324;1.16366e-18;6.18198e-18;-4.64256e-16;-0.0408872;-0.0409809;0.0350863;5.34749e-19;4.6541e-19;7.54708e-18;0.540073;0.681199;-1.22127;-5.08282e-18;9.85674e-19;-5.88733e-16;25.7142;
